Listing_ID,Location,Locality,BHK,Size,Price,Bathroom,Balcony,Furnishing,Transaction,Seller_Type,Listing_Date
MB101137,Kolkata,Salt Lake,3,524.0,3597233.0,4.0,3.0,Unfurn.,Resale,Broker,2024-01-30
MB100222,Pune,Viman Nagar,4,2547.0,22189240.0,3.0,2.0,Semi-Furnished,New,Broker,2023-07-07
MB100973,Kolkata,New Town,4,1719 sqft,15137167.0,3.0,3.0,Unfurnished,New,Broker,22/01/2025
MB101370,Jaipur,Malviya Nagar,3,1393.0,6190887.0,3.0,0.0,Unfurn.,New,Broker,2024-04-16
MB100939,Delhi NCR,Rohini,5,2071.0,26041798.0,3.0,2.0,Semi-Furnished,Resale,Broker,2025-03-14
MB100310,Bangalore,Indiranagar,3,1630.0,13728195.0,,,,Resale,Owner,28/01/2025
MB100360,Jaipur,Jagatpura,2,865.0,5610290.0,1.0,1.0,Semi-Furnished,New,Builder,20/11/2024
MB100308,Kolkata,Garia,3,1862.0,11680442.0,2.0,1.0,Furnished,New,Broker,2025-05-24
MB101241,Bangalore,Yelahanka,3,1212.0,14850352.0,3.0,3.0,Unfurnished,New,Builder,2024-06-05
MB100018,Delhi NCR,Gurgaon,4,2216.0,27796642.0,2.0,2.0,Unfurnished,Resale,Builder,2024-08-14
MB100776,Lucknow,Aliganj,3,1224.0,7325027.0,3.0,2.0,Furnished,New,Owner,2024-09-25
MB100676,Delhi NCR,Ghaziabad,2,658.0,8753880.0,3.0,1.0,Furnished,New,Broker,2023-03-08
MB100382,Lucknow,Aliganj,3,1374.0,9150601.0,2.0,4.0,Unfurnished,New,Owner,2024-09-07
MB100491,Kolkata,Howrah,3,1830.0,52309634.0,2.0,2.0,Unfurnished,Resale,Broker,2024-04-20
MB100717,Delhi NCR,Gurgaon,3,1564.0,24141532.0,3.0,1.0,Semi-Furnished,Resale,Broker,2024-06-22
MB100042,Hyderabad,Madhapur,3,1083.0,7042400.0,2.0,2.0,Unfurnished,Resale,Builder,17/08/2023
MB101392,Delhi NCR,Noida,3,1407 sqft,20915097.0,3.0,1.0,Furnished,Resale,Builder,2023-02-23
MB100675,Mumbai,Andheri,1,413.0,9541956.0,1.0,2.0,Furnished,New,Builder,16/03/2024
MB100520,Jaipur,C-Scheme,2,1116.0,3822469.0,3.0,2.0,Semi-Furnished,Resale,Builder,2023-03-09
MB101161,Delhi NCR,Rohini,3,1343.0,14267567.0,,,Unfurnished,Resale,Broker,2023-12-10
MB101341,Jaipur,Vaishali Nagar,2,739.0,4513172.0,1.0,1.0,Furnished,Resale,Broker,2023-08-07
MB100463,Mumbai,Borivali,4,2016.0,45411380.0,3.0,1.0,Furnished,New,Broker,2023-04-26
MB100211,Chennai,Anna Nagar,2,1080 sqft,11042900.0,1.0,4.0,Furnished,Resale,Builder,2024-08-03
MB100602,Pune,Viman Nagar,2,425.0,3799856.0,1.0,3.0,Furnished,Resale,Owner,2024-01-11
MB101056,Mumbai,Goregaon,4,1200.0,25294610.0,3.0,3.0,Unfurnished,New,Builder,2024-04-18
MB100837,Chennai,Adyar,2,1138.0,9389965.0,2.0,2.0,Furnished,New,Owner,2024-11-18
MB100509,Pune,Wakad,3,1187.0,11485173.0,2.0,2.0,Semi-Furnished,New,Owner,2023-10-01
MB100568,Mumbai,Powai,4,1611 sqft,45626100.0,3.0,2.0,Furnished,Resale,Builder,2024-09-20
MB100405,Delhi NCR,Saket,3,1014.0,10415153.0,2.0,3.0,Unfurnished,Resale,Owner,2024-12-24
MB101196,Jaipur,Jagatpura,3,1327.0,7982211.0,3.0,1.0,Semi-Furnished,Resale,Broker,2024-02-16
MB100203,Mumbai,Andheri,2,964 sqft,13857228.0,3.0,2.0,Unfurnished,Resale,Owner,2023-02-08
MB101017,Bangalore,HSR Layout,4,1741.0,22466768.0,3.0,2.0,Furnshd,Resale,Owner,2025-04-18
MB101243,Lucknow,Gomti Nagar,1,488.0,3079813.0,,,Furnished,Resale,Broker,2023-11-05
MB101412,Jaipur,Vaishali Nagar,5,1781 sqft,9528408.0,3.0,2.0,Unfurnished,Resale,Broker,2024-11-08
MB100467,Chennai,Anna Nagar,2,810.0,8674065.0,1.0,3.0,Unfurnished,Resale,Broker,2023-09-07
MB100902,Mumbai,Powai,1,447.0,9087587.0,1.0,2.0,Furnished,Resale,Broker,2023-01-02
MB101002,Chennai,Adyar,3,1393.0,11711541.0,4.0,3.0,Semi-Furnished,New,Owner,05/03/2023
